gene    lose  win  draw  winRate(include draw)   winRate(not include draw)
0       64     28   8      28                     30
1       31     64   5      64                     67.4
2       66     22   12     22                     25
3       45     32   23     32                     41.6
4       34     49   17     49                     59
5       58     30   12     30                     34
6       46     43   11     43                     48.3
7       38     42   20     42                     52.5
8       51     34   15     34                     40   
9       29     42   29     42                     59
10      27     53   20     53                     66.25
11      29     40   31     40                     58
12      55     35   10     35                     39
13      36     49   15     49                     58
14      26     65   9      65                     71.4
15      41     40   19     40                     49
16      34     43   23     43                     56

overall  710 lose 711 win  279 draw
